"fuel_type_code","station_name","street_address","intersection_directions","city","state","zip","plus4","station_phone","status_code","expected_date","groups_with_access_code","access_days_time","cards_accepted","ev_level1_evse_num","ev_level2_evse_num","ev_dc_fast_count","ev_other_info","ev_network","ev_network_web","geocode_status","latitude","longitude","date_last_confirmed","id","updated_at","owner_type_code","federal_agency_id","federal_agency_name","open_date","ev_connector_types"
"ELEC","Village of Fairhaven","14523 Cayuga St",,"Fair Haven","NY","13064",,"866-816-7584","E",,"Public",,,,"2.0",,,"EV Connect","http://evconnect.com/","GPS","43.319784","-76.698227","2023-08-12T00:00:00.000","94838","2023-08-12 00:46:54",,,,"2017-09-29T00:00:00.000","J1772"
"ELEC","The Wick Hotel - Tesla Destination","41 Cross St",,"Hudson","NY","12534",,"833-843-9425  877-798-3752","E",,"Public",,,,"3.0",,,"Tesla Destination","https://www.tesla.com/destination-charging","200-9","42.253092","-73.795964","2022-10-06T00:00:00.000","114956","2023-01-18 15:15:20","P",,,"2017-12-08T00:00:00.000","J1772 TESLA"
"ELEC","Faust Motel - Tesla Destination","151 Main St",,"Tupper Lake","NY","12986",,"518-420-8461  877-798-3752","E",,"Public",,,,"3.0",,,"Tesla Destination","https://www.tesla.com/destination-charging","200-9","44.2437641","-74.48741","2022-10-06T00:00:00.000","115244","2023-01-18 15:15:20","P",,,"2017-12-04T00:00:00.000","J1772 TESLA"
"ELEC","Avon","74 Genesee Street",,"Avon","NY","14414",,"866-816-7584","E",,"Public",,,,"2.0",,,"EV Connect","http://evconnect.com/","GPS","42.910944","-77.74632","2023-08-12T00:00:00.000","123132","2023-08-12 00:46:58",,,,"2019-04-01T00:00:00.000","J1772"
"ELEC","Holiday Inn Express & Suites","9 Old Route 32",,"Saugerties","NY","12477",,"866-816-7584","E",,"Public",,,,"4.0",,,"EV Connect","http://evconnect.com/","GPS","42.087231","-73.974723","2023-08-12T00:00:00.000","154659","2023-08-12 00:47:13",,,,"2020-03-20T00:00:00.000","J1772"
"ELEC","LIVEWELL GROUP CLUBHOUSE","1 Juniper Dr",,"Delmar","NY","12054",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.60735","-73.84772","2023-08-12T00:00:00.000","164115","2023-08-12 00:21:44",,,,"2020-07-10T00:00:00.000","J1772"
"ELEC","Staten Island University Hospital (South Side 375 Sequine Ave)","375 Seguine Ave",,"Staten Island","NY","10309",,"866-816-7584","E",,"Public",,,,"4.0",,,"EV Connect","http://evconnect.com/","GPS","40.516758","-74.196379","2023-08-12T00:00:00.000","166366","2023-08-12 00:47:17",,,,"2020-05-08T00:00:00.000","J1772"
"ELEC","Exit 48A (Pembroke)","8420 Alleghany Rd",,"Corfu","NY","14036",,"866-816-7584","E",,"Public",,,,"2.0",,,"EV Connect","http://evconnect.com/","GPS","43.002564","-78.40714","2023-08-12T00:00:00.000","168456","2023-08-12 00:47:19",,,,"2020-08-25T00:00:00.000","J1772"
"ELEC","TATABROOKFIELD #5","11 E Loop Rd",,"New York","NY","10044",,"888-758-4389","E",,"Public","24 hours daily",,,"1.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","40.755142","-73.9556","2023-08-12T00:00:00.000","174184","2023-08-12 00:14:46",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","SRYMCASSB MALTA 1.2","8-10 Medical Park Dr",,"Ballston Spa","NY","12020",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.97571","-73.80622","2023-08-12T00:00:00.000","182289","2023-08-12 00:24:58",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","SIENA COLLEGE SIENAHALL EVSE1","Friars Dr.",,"Albany","NY","12211",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.718662","-73.75385","2023-08-12T00:00:00.000","193842","2023-08-12 00:28:16",,,,"2021-08-13T00:00:00.000","J1772"
"ELEC","CANDLE PARK-04","3607 NY-434",,"Vestal","NY","13850",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.097893","-75.985432","2023-08-12T00:00:00.000","221985","2023-08-12 00:33:40",,,,"2022-06-25T00:00:00.000","J1772"
"ELEC","ATRIUM EVCHARGE EV1","451 Clifton Park Center Rd",,"Clifton Park","NY","12065",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.85608","-73.785969","2023-08-12T00:00:00.000","225939","2023-08-12 00:32:35",,,,"2022-08-20T00:00:00.000","J1772"
"ELEC","MAINLOT MAIN LOT LEFT 1","181 E Fairmount Ave",,"Lakewood","NY","14750",,"888-758-4389","E",,"Public","24 hours daily",,,,"1.0",,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.098102","-79.31418","2023-08-12T00:00:00.000","231094","2023-08-12 00:35:11",,,,"2022-10-01T00:00:00.000","CHADEMO J1772COMBO"
"ELEC","HOSELTON TOYOTA TOYOTA- EV 1","50 Marsh Rd",,"East Rochester","NY","14445",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.100956","-77.480872","2023-08-12T00:00:00.000","255582","2023-08-12 00:37:31",,,,"2023-03-06T00:00:00.000","J1772"
"ELEC","WATERVLIET DOME 3","1300 2nd Ave",,"Watervliet","NY","12189",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.724022","-73.702739","2023-08-12T00:00:00.000","195911","2023-08-12 00:28:57",,,,"2021-09-15T00:00:00.000","J1772"
"ELEC","Queens Center - Tesla Supercharger","90-15 Queens Boulevard",,"Queens","NY","11373",,"877-798-3752","E",,"Public","24 hours daily",,,,"10.0",,"Tesla","https://www.tesla.com/supercharger","GPS","40.735082","-73.87067","2023-07-01T00:00:00.000","116809","2023-07-14 19:41:28","P",,,"2018-12-01T00:00:00.000","TESLA"
"ELEC","WARRENCOUNTY DPW 1","1342 U.S. 9",,"Lake George","NY","12845",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.359015","-73.701072","2023-08-12T00:00:00.000","150259","2023-08-12 00:17:39",,,,"2019-12-17T00:00:00.000","J1772"
"ELEC","Nissan of Westbury","939 Old Country Rd",,"Westbury","NY","11590",,"516-338-5600","E",,"Public - Call ahead","Dealership business hours",,,"1.0","1.0",,"Non-Networked",,"200-8","40.753954","-73.561974","2020-06-09T00:00:00.000","44212","2023-02-15 22:45:41","P",,,"2011-11-30T00:00:00.000","CHADEMO J1772"
"ELEC","Price Chopper","854 NY-13",,"Cortland","NY","13045",,,"E",,"Public - Credit card at all times","6am - 11pm","A D Debit M V",,"2.0",,,"Non-Networked",,"GPS","42.5719158520722","-76.216106747181","2023-03-08T00:00:00.000","197538","2023-03-08 17:16:33","P",,,"2021-10-04T00:00:00.000","J1772"
"ELEC","Flushing Plaza","41-61 Kissena Blvd",,"Flushing","NY","11355",,"866-816-7584","E",,"Public",,,,"6.0",,,"EV Connect","http://evconnect.com/","GPS","40.757772","-73.826935","2023-08-12T00:00:00.000","230791","2023-08-12 00:47:04",,,,"2022-09-30T00:00:00.000","J1772"
"ELEC","Icon Parking - Patriot Parking","376 Greenwich Street",,"New York","NY","10013",,"888-998-2546","E",,"Public",,,,"1.0",,,"Blink Network","http://www.blinkcharging.com/","GPS","40.719772","-74.010475","2023-06-21T00:00:00.000","164680","2023-06-21 00:01:20",,,,"2020-08-01T00:00:00.000","J1772"
"ELEC","PPC STATION 1","Point Place Casino 450 St Route 31",,"Bridgeport","NY","13030",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.153633","-75.965896","2023-08-12T00:00:00.000","180130","2023-08-12 00:08:17",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","Bear Metal Works","39 Scoville Avenue",,"Buffalo","NY","14206",,"866-816-7584","E",,"Public",,,,"4.0",,,"EV Connect","http://evconnect.com/","GPS","42.873786","-78.827735","2023-08-12T00:00:00.000","155026","2023-08-12 00:47:13",,,,"2019-08-08T00:00:00.000","J1772"
"ELEC","The Gardens at Penfield Square","200 YMCA Way",,"Penfield","NY","14526",,"585-678-9400","E",,"Public - Credit card at all times","24 hours daily","A D Debit M V",,"2.0",,,"Non-Networked",,"GPS","43.15115371183","-77.4363774826257","2022-09-14T00:00:00.000","226511","2023-02-14 15:54:11","P",,,"2022-08-24T00:00:00.000","J1772"
"ELEC","The Kensington at Halfmoon","1 Kensington Ct",,"Clifton Park","NY","12065",,"844-623-1001","E",,"Public","24 hours daily","A CREDIT D M V",,"4.0",,,"LIVINGSTON","https://www.solution.energy","GPS","42.83172","-73.73892","2022-07-12T00:00:00.000","223243","2023-02-14 15:54:11","P",,,"2022-01-07T00:00:00.000","J1772"
"ELEC","HARMONY MILLS 1 FALLSVIEW 1.4","100 N Mohawk St",,"Cohoes","NY","12047",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.781666","-73.705376","2023-08-12T00:00:00.000","174729","2023-08-12 00:16:44",,,,"2021-01-27T00:00:00.000","J1772"
